LPID,ADate,StartTime,StopTime,DayNight,SCC,CenterLatdec,CenterLongdec
_200055_,24/04/2014,2014:114:10:58:09.1164530,2014:114:10:58:40.8864490,DAY,32.65,7.23124,-10.50749
_202051_,22/04/2014,2014:112:11:08:56.6703580,2014:112:11:09:28.4403540,DAY,0,13.01247,-12.34443
_202052_,22/04/2014,2014:112:11:09:20.5783390,2014:112:11:09:52.3483350,DAY,0.41,11.56753,-12.66033
_202053_,22/04/2014,2014:112:11:09:44.4820840,2014:112:11:10:16.2520800,DAY,10.2,10.12257,-12.97395
_202054_,22/04/2014,2014:112:11:10:08.3900650,2014:112:11:10:40.1600610,DAY,61.08,8.67713,-13.28572
_202055_,22/04/2014,2014:112:11:10:32.3022820,2014:112:11:11:04.0722780,DAY,99.96,7.23129,-13.59593
_204051_,20/04/2014,2014:110:11:21:19.5384620,2014:110:11:21:51.3084580,DAY,0,13.01243,-15.43158
_204052_,20/04/2014,2014:110:11:21:43.4464430,2014:110:11:22:15.2164390,DAY,1.15,11.5675,-15.74749
_199051_,17/04/2014,2014:107:10:50:26.6033100,2014:107:10:50:58.3733060,DAY,0.01,13.01248,-7.69857
_199052_,17/04/2014,2014:107:10:50:50.5112910,2014:107:10:51:22.2812870,DAY,1,11.56755,-8.01448
_199053_,17/04/2014,2014:107:10:51:14.4192720,2014:107:10:51:46.1892680,DAY,9.95,10.12234,-8.32817
_199054_,17/04/2014,2014:107:10:51:38.3230170,2014:107:10:52:10.0930130,DAY,46.18,8.67717,-8.63987
_199055_,17/04/2014,2014:107:10:52:02.2394700,2014:107:10:52:34.0094660,DAY,68.4,7.23108,-8.95015
_201051_,15/04/2014,2014:105:11:02:50.7844870,2014:105:11:03:22.5544830,DAY,0,13.01242,-10.79106
_201052_,15/04/2014,2014:105:11:03:14.6924680,2014:105:11:03:46.4624640,DAY,0,11.56745,-11.10699
_201053_,15/04/2014,2014:105:11:03:38.5962140,2014:105:11:04:10.3662100,DAY,0.01,10.12246,-11.42067
_201054_,15/04/2014,2014:105:11:04:02.5084310,2014:105:11:04:34.2784270,DAY,1.95,8.6767,-11.73254
_201055_,15/04/2014,2014:105:11:04:26.4164120,2014:105:11:04:58.1864080,DAY,37.67,7.23106,-12.04271
_203051_,13/04/2014,2014:103:11:15:15.5037040,2014:103:11:15:47.2737000,DAY,0.06,13.01239,-13.88577
_203052_,13/04/2014,2014:103:11:15:39.4074490,2014:103:11:16:11.1774450,DAY,0.06,11.56765,-14.20168
_203053_,13/04/2014,2014:103:11:16:03.3154300,2014:103:11:16:35.0854260,DAY,0.48,10.1224,-14.51542
_198052_,10/04/2014,2014:100:10:44:49.4290780,2014:100:10:45:21.1990740,DAY,39,11.56785,-6.48101
_198053_,10/04/2014,2014:100:10:45:13.3412950,2014:100:10:45:45.1112910,DAY,58.6,10.12238,-6.79484
_198054_,10/04/2014,2014:100:10:45:37.2492760,2014:100:10:46:09.0192720,DAY,40.54,8.67687,-7.10665
